"","game_date_x","game_pk","velocity","spin_rate","release_extension","api_break_z_with_gravity","pitcher_run_exp","woba","xwoba","launch_speed","hardhit_percent","barrels_per_pa_percent","home_team","away_team","home_runs","away_runs","park_factor"
"147","2024-04-02",746086,91,2117,6.26,2.14836,-0.686,0.308,0.376,89.9,44,12.1212121212121,"Miami Marlins","Los Angeles Angels",1,3,113
"148","2024-04-02",746086,85.9,2120,6.29,2.01675,2.316,0.236,0.253,81.6,12,2.94117647058824,"Miami Marlins","Los Angeles Angels",1,3,113
"149","2024-04-02",747220,87.2,2374,6.29,2.39544,-2.61,0.368,0.372,90.8,40.7407407407407,2.63157894736842,"Arizona Diamondbacks","New York Yankees",7,0,104
"150","2024-04-02",747220,88.8,2215,6.55,2.18832,4.263,0.152,0.229,87.1,30,0,"Arizona Diamondbacks","New York Yankees",7,0,104
"151","2024-04-02",746814,93.4,2524,7.04,1.63108,0.559,0.283,0.261,86.2,40.9090909090909,5.55555555555556,"Chicago White Sox","Atlanta Braves",3,2,97
"152","2024-04-02",746814,89.8,2275,6.43,2.19229,1.882,0.278,0.248,86.4,31.8181818181818,3.125,"Chicago White Sox","Atlanta Braves",3,2,97
"153","2024-04-02",747057,85.4,2143,6.46,2.74363,1.043,0.287,0.384,95.4,56,13.1578947368421,"Baltimore Orioles","Kansas City Royals",1,4,98
"154","2024-04-02",747057,88.6,2286,6.22,2.46248,4.585,0.136,0.292,92.2,56.5217391304348,6.66666666666667,"Baltimore Orioles","Kansas City Royals",1,4,98
"155","2024-04-02",745111,87.9,2411,6.57,2.20697,-0.29,0.279,0.237,87.4,40.9090909090909,0,"Tampa Bay Rays","Texas Rangers",5,2,100
"156","2024-04-02",745111,88.9,2333,6.63,2.46057,2.767,0.23,0.27,85.9,23.0769230769231,2.77777777777778,"Tampa Bay Rays","Texas Rangers",5,2,100
"157","2024-04-02",745273,87.6,2215,6.56,2.47208,1.353,0.292,0.267,87.4,43.4782608695652,2.7027027027027,"Seattle Mariners","Cleveland Guardians",2,5,89
